Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit_TC_MONVIT_CADC_001,,,2018-05-16 09:29:47,2018-05-16 09:30:07,"20,756s",PASSED
,,,,,,
Test Cases/START_APPLICATION/TC_START_APPLICATION,,TestCase which start application Monitoring Vitals,2018-05-16 09:29:47,2018-05-16 09:30:00,"12,835s",PASSED
startApplication,,,2018-05-16 09:29:47,2018-05-16 09:30:00,"12,593s",PASSED
,,,,,,
Test Cases/REGISTER/TC_REGISTER,,TestCase to register a new user in Monitoring Vitals,2018-05-16 09:30:00,2018-05-16 09:30:05,"5,027s",PASSED
delay,,,2018-05-16 09:30:00,2018-05-16 09:30:03,"3,023s",PASSED
tap,,,2018-05-16 09:30:03,2018-05-16 09:30:05,"1,911s",PASSED
