Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_TC_MONVIT_CADC_001,,,2018-05-23 15:18:23,2018-05-23 15:18:30,"7,610s",INCOMPLETE
,,,,,,
Test Cases/TEST_SCENARIOS/CADASTRO DE CONTAS/TC_MONVIT_CADC_001,,TC_MONVIT_CADC_001 - Validar obrigatoriedade dos campos abaixo no formul\u00E1rio de cria\u00E7\u00E3o de conta N\u00C3O preenchendo e clicando em salvar\n\nNome completo\nCPF\nData de nascimento\nTelefone celular\nEmail\nConfirme seu email\nSenha\nConfirme sua senha\nTermos de uso,2018-05-23 15:18:23,2018-05-23 15:18:30,"7,367s",ERROR
Statement - dataConfig = com.kms.katalon.core.testdata.TestDataFactory.findTestData(CONFIG),,,2018-05-23 15:18:23,2018-05-23 15:18:24,"0,775s",PASSED
Statement - dataTC = com.kms.katalon.core.testdata.TestDataFactory.findTestData(DP_MONITORING_VITALS),,,2018-05-23 15:18:24,2018-05-23 15:18:24,"0,051s",PASSED
"Statement - folderScreenshotsTestCase = new java.io.File(dataConfig.getValue(3, 3))",,,2018-05-23 15:18:24,2018-05-23 15:18:24,"0,031s",PASSED
"Statement - pathAPK = dataConfig.getValue(2, 2)",,,2018-05-23 15:18:24,2018-05-23 15:18:24,"0,001s",PASSED
Statement - idxImgEvidence = 0,,,2018-05-23 15:18:24,2018-05-23 15:18:24,"0,000s",PASSED
Statement - If (!(folderScreenshotsTestCase.exists())),,,2018-05-23 15:18:24,2018-05-23 15:18:24,"0,001s",PASSED
callTestCase,,,2018-05-23 15:18:24,2018-05-23 15:18:25,"0,711s",PASSED
callTestCase,,,2018-05-23 15:18:25,2018-05-23 15:18:30,"5,384s",FAILED
