Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit_TC_MONVIT_CADC_001,,,2018-05-16 15:00:41,2018-05-16 15:01:36,"55,661s",PASSED
,,,,,,
Test Cases/START_APPLICATION/TC_START_APPLICATION,,TestCase which start application Monitoring Vitals,2018-05-16 15:00:41,2018-05-16 15:01:18,"36,710s",PASSED
startApplication,,,2018-05-16 15:00:41,2018-05-16 15:01:18,"36,496s",PASSED
,,,,,,
Test Cases/REGISTER/TC_REGISTER,,TestCase to register a new user in Monitoring Vitals,2018-05-16 15:01:18,2018-05-16 15:01:35,"17,038s",PASSED
delay,,,2018-05-16 15:01:18,2018-05-16 15:01:23,"5,018s",PASSED
pressBack,,,2018-05-16 15:01:23,2018-05-16 15:01:24,"1,477s",PASSED
tap,,,2018-05-16 15:01:24,2018-05-16 15:01:28,"3,735s",PASSED
"Statement - titleViewRegister = com.kms.katalon.core.mobile.keyword.MobileBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/OBJ_SCREEN_REGISTER/android.widget.TextView0 - Crie sua conta), 10)",,,2018-05-16 15:01:28,2018-05-16 15:01:29,"0,567s",PASSED
delay,,,2018-05-16 15:01:29,2018-05-16 15:01:34,"5,003s",PASSED
"Statement - If (titleViewRegister == ""Crie sua conta"")",,,2018-05-16 15:01:34,2018-05-16 15:01:35,"1,141s",PASSED
