Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit_TC_MONVIT_CADC_001,,,2018-05-16 15:07:48,2018-05-16 15:08:40,"51,626s",PASSED
,,,,,,
Test Cases/START_APPLICATION/TC_START_APPLICATION,,TestCase which start application Monitoring Vitals,2018-05-16 15:07:49,2018-05-16 15:08:23,"34,966s",PASSED
startApplication,,,2018-05-16 15:07:49,2018-05-16 15:08:23,"34,739s",PASSED
,,,,,,
Test Cases/REGISTER/TC_REGISTER,,TestCase to register a new user in Monitoring Vitals,2018-05-16 15:08:23,2018-05-16 15:08:39,"15,199s",PASSED
"Statement - pathScreenshots = ""Screenshots/MONVIT/""",,,2018-05-16 15:08:24,2018-05-16 15:08:24,"0,000s",PASSED
delay,,,2018-05-16 15:08:24,2018-05-16 15:08:29,"5,020s",PASSED
pressBack,,,2018-05-16 15:08:29,2018-05-16 15:08:29,"0,836s",PASSED
tap,,,2018-05-16 15:08:29,2018-05-16 15:08:32,"2,532s",PASSED
"Statement - titleViewRegister = com.kms.katalon.core.mobile.keyword.MobileBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/OBJ_SCREEN_REGISTER/android.widget.TextView0 - Crie sua conta), 10)",,,2018-05-16 15:08:32,2018-05-16 15:08:33,"0,584s",PASSED
delay,,,2018-05-16 15:08:33,2018-05-16 15:08:38,"5,004s",PASSED
"Statement - If (titleViewRegister == ""Crie sua conta"")",,,2018-05-16 15:08:38,2018-05-16 15:08:39,"1,115s",PASSED
