Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit_TC_MONVIT_CADC_001,,,2018-05-16 14:44:17,2018-05-16 14:45:11,"54,438s",ERROR
,,,,,,
Test Cases/START_APPLICATION/TC_START_APPLICATION,,TestCase which start application Monitoring Vitals,2018-05-16 14:44:17,2018-05-16 14:44:54,"37,574s",PASSED
startApplication,,,2018-05-16 14:44:17,2018-05-16 14:44:54,"37,370s",PASSED
,,,,,,
Test Cases/REGISTER/TC_REGISTER,,TestCase to register a new user in Monitoring Vitals,2018-05-16 14:44:54,2018-05-16 14:45:09,"15,106s",ERROR
delay,,,2018-05-16 14:44:54,2018-05-16 14:44:59,"5,017s",PASSED
pressBack,,,2018-05-16 14:44:59,2018-05-16 14:45:00,"1,034s",PASSED
tap,,,2018-05-16 14:45:00,2018-05-16 14:45:03,"2,411s",PASSED
"Statement - titleViewRegister = com.kms.katalon.core.mobile.keyword.MobileBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/OBJ_SCREEN_REGISTER/android.widget.TextView0 - Crie sua conta), 10)",,,2018-05-16 14:45:03,2018-05-16 14:45:03,"0,580s",PASSED
delay,,,2018-05-16 14:45:03,2018-05-16 14:45:08,"5,004s",PASSED
"Statement - If (titleViewRegister == ""Crie sua conta"")",,,2018-05-16 14:45:08,2018-05-16 14:45:09,"0,952s",PASSED
