Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit_TC_MONVIT_CADC_001,,,2018-05-16 09:58:09,2018-05-16 09:58:30,"21,031s",PASSED
,,,,,,
Test Cases/START_APPLICATION/TC_START_APPLICATION,,TestCase which start application Monitoring Vitals,2018-05-16 09:58:09,2018-05-16 09:58:22,"12,769s",PASSED
startApplication,,,2018-05-16 09:58:09,2018-05-16 09:58:22,"12,561s",PASSED
,,,,,,
Test Cases/REGISTER/TC_REGISTER,,TestCase to register a new user in Monitoring Vitals,2018-05-16 09:58:22,2018-05-16 09:58:27,"5,423s",PASSED
tap,,,2018-05-16 09:58:22,2018-05-16 09:58:27,"5,343s",PASSED
