Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit_TC_MONVIT_CADC_001,,,2018-05-16 14:29:36,2018-05-16 14:30:27,"50,206s",PASSED
,,,,,,
Test Cases/START_APPLICATION/TC_START_APPLICATION,,TestCase which start application Monitoring Vitals,2018-05-16 14:29:37,2018-05-16 14:30:11,"34,297s",PASSED
startApplication,,,2018-05-16 14:29:37,2018-05-16 14:30:11,"34,083s",PASSED
,,,,,,
Test Cases/REGISTER/TC_REGISTER,,TestCase to register a new user in Monitoring Vitals,2018-05-16 14:30:11,2018-05-16 14:30:25,"13,756s",PASSED
delay,,,2018-05-16 14:30:11,2018-05-16 14:30:16,"5,019s",PASSED
pressBack,,,2018-05-16 14:30:16,2018-05-16 14:30:17,"0,540s",PASSED
tap,,,2018-05-16 14:30:17,2018-05-16 14:30:19,"2,526s",PASSED
"Statement - titleViewRegister = com.kms.katalon.core.mobile.keyword.MobileBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/OBJ_SCREEN_REGISTER/android.widget.TextView0 - Crie sua conta), 10)",,,2018-05-16 14:30:19,2018-05-16 14:30:20,"0,576s",PASSED
delay,,,2018-05-16 14:30:20,2018-05-16 14:30:25,"5,005s",PASSED
