Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_TC_MONVIT_CADC_001,,,2018-05-23 14:34:06,2018-05-23 14:34:08,"2,093s",ERROR
,,,,,,
Test Cases/TEST_SCENARIOS/CADASTRO DE CONTAS/TC_MONVIT_CADC_001,,TC_MONVIT_CADC_001 - Validar obrigatoriedade dos campos abaixo no formul\u00E1rio de cria\u00E7\u00E3o de conta N\u00C3O preenchendo e clicando em salvar\n\nNome completo\nCPF\nData de nascimento\nTelefone celular\nEmail\nConfirme seu email\nSenha\nConfirme sua senha\nTermos de uso,2018-05-23 14:34:06,2018-05-23 14:34:08,"1,769s",ERROR
Statement - dataConfig = com.kms.katalon.core.testdata.TestDataFactory.findTestData(CONFIG),,,2018-05-23 14:34:07,2018-05-23 14:34:08,"0,836s",PASSED
Statement - dataTC = com.kms.katalon.core.testdata.TestDataFactory.findTestData(DP_MONITORING_VITALS),,,2018-05-23 14:34:08,2018-05-23 14:34:08,"0,105s",PASSED
"Statement - folderScreenshotsTestCase = new java.io.File((dataConfig.getValue(3, 2) + dataTC.getValue(1, 2)))",,,2018-05-23 14:34:08,2018-05-23 14:34:08,"0,029s",PASSED
Statement - If (!(folderScreenshotsTestCase.exists())),,,2018-05-23 14:34:08,2018-05-23 14:34:08,"0,002s",PASSED
Statement - idxImgEvidence = 0,,,2018-05-23 14:34:08,2018-05-23 14:34:08,"0,001s",PASSED
callTestCase,,,2018-05-23 14:34:08,2018-05-23 14:34:08,"0,023s",PASSED
