Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit_TC_MONVIT_CADC_001,,,2018-05-16 09:59:43,2018-05-16 10:00:04,"21,204s",PASSED
,,,,,,
Test Cases/START_APPLICATION/TC_START_APPLICATION,,TestCase which start application Monitoring Vitals,2018-05-16 09:59:43,2018-05-16 09:59:55,"12,510s",PASSED
startApplication,,,2018-05-16 09:59:43,2018-05-16 09:59:55,"12,282s",PASSED
,,,,,,
Test Cases/REGISTER/TC_REGISTER,,TestCase to register a new user in Monitoring Vitals,2018-05-16 09:59:55,2018-05-16 10:00:01,"5,726s",PASSED
tap,,,2018-05-16 09:59:55,2018-05-16 10:00:01,"5,637s",PASSED
