Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuit_TC_MONVIT_CADC_001,,,2018-05-16 09:28:00,2018-05-16 09:28:27,"26,716s",FAILED
,,,,,,
Test Cases/START_APPLICATION/TC_START_APPLICATION,,TestCase which start application Monitoring Vitals,2018-05-16 09:28:00,2018-05-16 09:28:13,"12,614s",PASSED
startApplication,,,2018-05-16 09:28:01,2018-05-16 09:28:13,"12,372s",PASSED
,,,,,,
Test Cases/REGISTER/TC_REGISTER,,TestCase to register a new user in Monitoring Vitals,2018-05-16 09:28:13,2018-05-16 09:28:24,"11,286s",FAILED
delay,,,2018-05-16 09:28:13,2018-05-16 09:28:16,"3,086s",PASSED
tap,,,2018-05-16 09:28:16,2018-05-16 09:28:24,"8,094s",FAILED
